OBSERVATION DATE,SPECIES1,SPECIES2,SPECIES3,SPECIES4,SPECIES5,SPECIES6,SPECIES7,SPECIES8,SPECIES9,SPECIES10,SPECIES11,SPECIES12,SPECIES13,SPECIES14,SPECIES15,SPECIES16,SPECIES17,SPECIES18,SPECIES19,SPECIES20
1994,2,1,3,4,2,1,2,3,4,0,0,1,0,12,5,,,,,
1995,5,4,5,23,6,2,9,8,13,2,2,6,6,9,20,,,,,
1996,8,7,9,24,6,3,11,17,14,7,12,10,9,11,17,,,,,
1997,0,0,1,21,2,4,1,5,4,1,4,4,11,6,11,,,,,
1998,5,4,4,13,5,2,8,10,10,2,4,12,7,12,18,,,,,3
1999,6,5,1,20,1,2,4,6,6,1,4,8,2,11,19,,,,0,3
2000,6,8,4,16,2,1,11,13,10,5,11,12,6,12,16,3,,1,3,2
2001,5,7,3,17,11,2,15,9,7,4,8,11,6,11,16,3,,1,2,1
2002,3,6,1,11,4,1,4,5,3,1,3,5,5,7,15,4,,0,2,1
2003,19,8,12,31,13,3,14,16,8,7,7,22,6,22,22,3,,1,4,7
2004,12,8,4,27,7,13,15,24,10,14,16,22,7,20,25,5,,1,4,10
2005,7,2,1,17,3,4,11,7,2,12,7,18,9,12,21,6,,1,1,6
2006,16,7,11,28,9,8,8,15,6,19,11,23,13,22,34,7,,1,4,12
2007,27,11,10,33,12,3,19,23,22,18,18,23,18,34,33,6,,5,1,16
2008,39,8,18,33,29,8,33,33,30,30,24,21,15,32,35,15,1,9,6,26
2009,16,2,9,22,7,4,28,23,17,12,12,9,9,17,24,7,0,4,2,13
2010,54,9,24,90,25,6,31,33,31,23,33,59,24,45,90,11,5,14,3,9
2011,71,25,15,128,36,16,54,59,73,27,50,132,42,76,200,35,0,5,3,25
2012,30,14,7,62,15,12,17,22,21,16,18,38,11,31,63,15,1,5,2,10
2013,75,27,26,129,43,27,47,63,65,34,42,97,33,88,160,16,1,7,16,47
2014,131,34,29,232,61,30,62,101,101,58,68,147,42,101,256,43,0,9,19,38
2015,158,51,40,299,71,53,166,129,129,79,66,228,63,127,326,75,9,16,22,40
2016,339,53,72,666,138,106,356,239,246,109,191,372,139,261,698,165,7,40,32,86
2017,367,79,48,679,125,68,327,253,232,104,173,451,110,286,803,118,0,26,4,80
2018,355,108,142,991,228,142,430,334,389,219,275,568,206,445,1115,181,5,51,24,139
2019,818,190,301,1573,368,307,919,549,740,360,506,971,375,752,1825,366,32,88,183,241
2020,1434,225,597,2479,646,676,1608,980,1290,767,1036,1395,713,1263,2587,673,57,183,232,473
2021,1509,340,757,2835,745,829,1717,1089,1500,812,1013,1411,669,1413,2928,671,58,309,186,634
2022,1965,240,672,3315,1050,696,1791,1058,1417,980,1092,1839,673,1543,3785,584,50,242,221,793